mode,reducer,serializer,param_set,run,sensors,timesteps,bytes,baseline_bytes,reduction_pct,rmse_mean,rmse_std,messages,energy_proxy
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",2,8,600,11794,55488,78.7449538638985,0.09494670035497842,0.020311694940118183,1017,62644
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",3,8,600,25384,117296,78.3590233256036,0.10948005628123905,0.025363556228856287,1036,77184
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",3,8,600,12012,55488,78.35207612456747,0.10948005628123905,0.025363556228856287,1036,63812
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",4,8,600,24871,117296,78.79637839312508,0.08790020986735797,0.02484358345857398,1014,75571
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",4,8,600,11766,55488,78.79541522491348,0.08790020986735797,0.02484358345857398,1014,62466
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",5,8,600,25306,117296,78.42552175692265,0.10847636647068126,0.03790396631799071,1033,76956
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",5,8,600,11965,55488,78.43677912341407,0.10847636647068126,0.03790396631799071,1033,63615
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",6,8,600,24966,117296,78.71538671395444,0.10051024280163995,0.018537250096766728,1019,75916
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",6,8,600,11827,55488,78.6854815455594,0.10051024280163995,0.018537250096766728,1019,62777
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",7,8,600,25413,117296,78.33429954985678,0.10567985078895659,0.02894381302419745,1037,77263
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",7,8,600,12005,55488,78.36469146482122,0.10567985078895659,0.02894381302419745,1037,63855
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",8,8,600,25999,117296,77.83470877097258,0.09469356667403539,0.01855467071533874,1061,79049
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",8,8,600,12280,55488,77.8690888119954,0.09469356667403539,0.01855467071533874,1061,65330
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",9,8,600,25678,117296,78.10837539217023,0.09795068215839337,0.027935278561689734,1048,78078
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",9,8,600,12136,55488,78.12860438292965,0.09795068215839337,0.027935278561689734,1048,64536
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",10,8,600,25539,117296,78.22687900695676,0.11545772532569215,0.03217503045160224,1042,77639
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",10,8,600,12082,55488,78.22592272202999,0.11545772532569215,0.03217503045160224,1042,64182
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",11,8,600,25480,117296,78.27717910244168,0.11119243087860127,0.026318157070428765,1038,77380
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.35, ""low_thresh"": 0.08}",11,8,600,12028,55488,78.32324106113033,0.11119243087860127,0.026318157070428765,1038,63928
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",0,8,600,25080,117296,78.61819669894967,0.1140343254677999,0.036683342608870136,1022,76180
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",0,8,600,11862,55488,78.62240484429066,0.1140343254677999,0.036683342608870136,1022,62962
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",1,8,600,24812,117296,78.84667848861001,0.08779671380371407,0.021484815942564402,1011,75362
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",1,8,600,11735,55488,78.85128316032295,0.08779671380371407,0.021484815942564402,1011,62285
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",2,8,600,24805,117296,78.8526462965489,0.09492691713041476,0.02034767173806921,1012,75405
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",2,8,600,11736,55488,78.84948096885813,0.09492691713041476,0.02034767173806921,1012,62336
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",3,8,600,25028,117296,78.6625289864957,0.1065660386081384,0.026764673632597616,1021,76078
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",3,8,600,11837,55488,78.66745963091118,0.1065660386081384,0.026764673632597616,1021,62887
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",4,8,600,24805,117296,78.8526462965489,0.08936283466139666,0.027784982784405225,1011,75355
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",4,8,600,11728,55488,78.8638985005767,0.08936283466139666,0.027784982784405225,1011,62278
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",5,8,600,25282,117296,78.44598281271314,0.10847699085915016,0.03790507942262815,1032,76882
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",5,8,600,11953,55488,78.45840542099192,0.10847699085915016,0.03790507942262815,1032,63553
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",6,8,600,24712,117296,78.931932887737,0.1009384179883183,0.018762155812607803,1008,75112
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",6,8,600,11697,55488,78.91976643598616,0.1009384179883183,0.018762155812607803,1008,62097
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",7,8,600,25572,117296,78.19874505524484,0.10483884778327461,0.028999225214087786,1044,77772
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",7,8,600,12099,55488,78.19528546712803,0.10483884778327461,0.028999225214087786,1044,64299
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",8,8,600,25404,117296,78.34197244577821,0.10073028735974242,0.023234050168497136,1035,77154
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",8,8,600,11995,55488,78.38271337946944,0.10073028735974242,0.023234050168497136,1035,63745
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",9,8,600,25548,117296,78.21920611103533,0.09733652341197122,0.028782680442854015,1043,77698
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",9,8,600,12072,55488,78.2439446366782,0.09733652341197122,0.028782680442854015,1043,64222
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",10,8,600,25208,117296,78.50907106806712,0.11055236088063522,0.032263951129380526,1028,76608
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",10,8,600,11913,55488,78.53049307958477,0.11055236088063522,0.032263951129380526,1028,63313
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",11,8,600,25334,117296,78.4016505251671,0.11187960509822616,0.026860298279749832,1032,76934
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.5, ""low_thresh"": 0.08}",11,8,600,11963,55488,78.44038350634371,0.11187960509822616,0.026860298279749832,1032,63563
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",0,8,600,25505,117296,78.25586550265994,0.11232735583246337,0.02407754021295979,1039,77455
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",0,8,600,12066,55488,78.25475778546713,0.11232735583246337,0.02407754021295979,1039,64016
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",1,8,600,25718,117296,78.07427363251944,0.0931708682409394,0.024335751418044952,1048,78118
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",1,8,600,12179,55488,78.05111014994233,0.0931708682409394,0.024335751418044952,1048,64579
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",2,8,600,26123,117296,77.72899331605511,0.10111846583775913,0.024059367600132504,1065,79373
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",2,8,600,12360,55488,77.72491349480968,0.10111846583775913,0.024059367600132504,1065,65610
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",3,8,600,25845,117296,77.96600054562816,0.1054643766190491,0.022939048481514644,1053,78495
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",3,8,600,12207,55488,78.00064878892734,0.1054643766190491,0.022939048481514644,1053,64857
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",4,8,600,26112,117296,77.73837129995907,0.09110472124597802,0.024859182545278222,1066,79412
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",4,8,600,12369,55488,77.7086937716263,0.09110472124597802,0.024859182545278222,1066,65669
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",5,8,600,26123,117296,77.72899331605511,0.10953668652613599,0.03142648551173149,1066,79423
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",5,8,600,12352,55488,77.73933102652826,0.10953668652613599,0.03142648551173149,1066,65652
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",6,8,600,26557,117296,77.35898922384395,0.10847638821247689,0.02804036677595938,1082,80657
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",6,8,600,12559,55488,77.36627739331027,0.10847638821247689,0.02804036677595938,1082,66659
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",7,8,600,25796,117296,78.00777520120037,0.10166344698840532,0.027964020800251517,1053,78446
vectorized,AdaptiveSampling,CBOR,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",7,8,600,12202,55488,78.00965974625144,0.10166344698840532,0.027964020800251517,1053,64852
vectorized,AdaptiveSampling,JSON,"{""high_thresh"": 0.25, ""low_thresh"": 0.12}",8,8,600,25963,117296,77.8654003546583,0.09728335364674826,0.025670004178043094,1058,78863
